[16.2932992, 48.2032013]
[16.5097342, 49.1876517]
[12.986619, 47.6935146]
[13.0202823, 47.5757111]
[8.9417721, 47.3709154]
[17.3870635, 49.6814632]
[6.3359992, 45.1262095]
[6.8567381, 44.5475868]
[6.9998427, 45.5049956]
[6.6240193, 45.2813645]
[6.97006, 45.9347326]
[6.8150821, 45.7946096]
[7.434648, 46.0567725]
[7.9932117, 46.465198]
[10.1955113, 44.3327854]
[14.807748, 47.0727962]
[7.0983962, 47.9008362]
[6.3596972, 44.922198]
[15.2400871, 46.3901952]
[8.4684337, 46.4116022]
[5.6860407, 44.3855261]
[7.4908648, 45.8705972]
[11.1934654, 45.9636324]
[12.0444775, 46.6077439]
[11.4655437, 47.6531721]
[7.8508198, 46.3915722]
[12.7338343, 47.4750415]
[13.5111336, 47.4938715]
[6.3117843, 44.2468094]
[14.113529, 46.1649365]
[8.3077718, 46.4259107]
[14.2710933, 47.5008202]
[7.7725113, 46.4888959]
[15.5997473, 46.2895884]
[14.5664185, 47.7517478]
[18.0167964, 43.3272887]
[6.0377778, 45.3927778]
[10.0643311, 47.2294962]
[6.9496597, 44.6195969]
[8.0469085, 46.7871033]
[8.6813258, 46.7369009]
[8.55, 46.8477779]
[11.6793681, 47.63307]
[16.2263889, 44.2863889]
[11.6438283, 46.4740893]
[5.6885667, 43.3115032]
[12.0980556, 46.4791667]
[7.3053896, 44.1777206]
[12.2678531, 46.4851159]
[7.3391663, 44.6809818]
[10.900036, 46.1797021]
[10.2947077, 46.2233481]
[12.2882724, 46.5776149]
[7.0129694, 45.0721363]
[11.6052937, 46.1766183]
[12.4210592, 46.3423245]
[11.8297409, 46.2899137]
[9.3856585, 42.8277226]
[8.208915, 45.9450746]
[9.1747139, 46.3841697]
[11.4680336, 45.9976856]
[12.3431523, 46.240557]
[11.1765372, 45.7922301]
[11.9283766, 46.3343734]
[11.1380772, 45.731185]
[10.6641189, 46.2199321]
[11.5077966, 46.9464887]
[10.8711276, 46.1565222]
[12.3783333, 46.6363889]
[10.8438832, 45.7263915]
[10.1966075, 46.383704]
[12.3404365, 46.5073978]
[12.1282696, 46.0017095]
[12.403342, 46.227435]
[12.1397222, 46.9108333]
[11.0317717, 45.9880488]
[13.5656452, 42.469358]
[11.454503, 46.3347755]
[6.1046213, 45.7971786]
[5.939626, 46.270925]
[17.7527543, 42.9704299]
[16.5267632, 44.6006688]
[15.2332048, 46.485617]
[15.8368449, 44.2520467]
[12.3597222, 46.6191667]
[12.1436111, 46.6347222]
[13.6057102, 47.4751798]
[8.4210603, 46.6434126]
[9.8839009, 47.3103707]
[12.3579692, 46.8718905]
[7.6050349, 45.9699788]
[6.3512686, 45.7296285]
[7.0358404, 46.4500004]
[5.8555566, 45.3082229]
[7.2262726, 46.5496077]
[16.9207416, 44.4080748]
[16.3829095, 44.0624818]
[13.6703863, 46.6036645]
[7.7349373, 46.4685227]
[15.0594299, 47.7857304]
[13.3583332, 47.643611]
[8.0946297, 46.4314948]
[13.8243873, 47.7878287]
[14.2515398, 47.8582067]
[10.5135838, 47.5222925]
[12.0395156, 43.4034357]
[8.0046735, 47.8739912]
[14.3145004, 46.4868515]
[13.1891802, 43.0859276]
[8.4977915, 46.7073475]
[9.9666588, 46.7622266]
[13.611111, 42.7308334]
[12.1646991, 43.6586166]
[14.4093419, 46.4888199]
[14.8894444, 47.8608333]
[11.7736385, 46.6121209]
[7.9017726, 46.788057]
[14.7327666, 47.8616718]
[13.1127222, 47.8051182]
[9.3738872, 47.1352782]
[13.4806591, 47.6233204]
[14.7802256, 47.7303026]
[13.3073187, 46.5697773]
[14.6361616, 47.3747742]
[12.4952799, 47.3374452]
[13.9143318, 46.69476]
[7.3532098, 46.4511604]
[10.6616694, 47.1483387]
[8.2625001, 46.7605556]
[16.7812902, 44.466394]
[14.6855655, 46.4495791]
[7.1449396, 45.3282495]
[7.2672005, 45.5178193]
[7.2992242, 45.9375756]
[5.8148554, 44.721716]
[7.1261652, 46.2371711]
[6.3662567, 45.4592629]
[6.8919412, 45.3302786]
[5.8120021, 45.3704545]
[6.1345541, 44.3681732]
[7.0614211, 45.8137818]
[5.8394587, 44.7752786]
[6.9889831, 45.8681562]
[14.1515244, 47.2476193]
[9.3876756, 45.9533979]
[14.4251365, 47.7647943]
[12.6938826, 47.0745464]
[8.5244444, 46.7866667]
[8.0973288, 46.4933983]
[13.1361756, 49.1125037]
[15.4918938, 47.7936913]
[13.9757742, 47.3203059]
[11.4527661, 47.3455546]
[14.0632524, 47.7169424]
[12.2963168, 47.3331237]
[10.3200331, 47.5549517]
[7.8272708, 46.5115775]
[11.7886399, 47.5462308]
[7.1950048, 46.4405615]
[13.614772, 47.2108283]
[9.4672775, 46.8999105]
[8.3983246, 47.0002812]
[15.739558, 47.825669]
[6.8059997, 43.8395511]
[9.0655497, 46.874446]
[6.923263, 46.1611351]
[11.2806617, 47.6125791]
[8.191695, 46.304796]
[15.6894731, 47.6889865]
[10.9146852, 46.7734046]
[12.6966651, 47.7331803]
[12.9377331, 47.0761478]
[14.1633293, 46.7711156]
[12.6736111, 47.1561111]
[12.515785, 47.7505749]
[13.760642, 47.266271]
[11.7648304, 47.4584383]
[12.8658126, 47.5693262]
[14.901204, 47.7108171]
[13.0624483, 47.4203341]
[14.8152894, 47.5387959]
[13.7847977, 47.0880497]
[15.4240327, 47.3629697]
[13.8250034, 46.6633343]
[10.8420527, 47.5522729]
[10.9883727, 47.353134]
[14.6819614, 47.3633106]
[15.0746826, 47.685609]
[12.2041746, 47.4650179]
[14.3230544, 47.782791]
[7.2690472, 48.3943784]
[17.9855556, 44.0975]
[17.4493496, 43.867471]
[11.9417652, 43.624085]
[11.1691326, 42.3874679]
[17.9325557, 42.8358352]
[9.6997222, 40.8988889]
[16.1272258, 46.1814468]
